Time_s,Current_A,CoilForce_N,WeightLoad_N,NetForce_N,Displacement_mm
0,0,-8.5788e-05,0.025637,-0.025722788,-3.70201816545187e-09
0.0008,0,-0.00010433,0.025637,-0.02574133,-0.0029289505951851
0.0016,0,-9.6061e-05,0.025637,-0.025733061,-0.0109917735366608
0.0024,0.02,0.0096045,0.025637,-0.0160325,-0.0229750367005682
0.0032,0.06,0.029143,0.025637,0.003506,-0.0371869851717304
0.004,0.1,0.048891,0.025637,0.023254,-0.0487068214300592
0.0048,0.14,0.068847,0.025637,0.04321,-0.0536837399154341
0.0056,0.18,0.08899,0.025637,0.063353,-0.0502836522319132
0.0064,0.2,0.099071,0.025637,0.073434,-0.0359939213038425
0.0072,0.2,0.098914,0.025637,0.073277,-0.008691858042811
0.008,0.2,0.098668,0.025637,0.073031,0.0318043616489821
0.0088,0.2,0.098321,0.025637,0.072684,0.085124115021331
0.0096,0.2,0.097861,0.025637,0.072224,0.150936903079519
0.0104,0.2,0.097273,0.025637,0.071636,0.228871032792095
0.0112,0.2,0.096545,0.025637,0.070908,0.318530343334166
0.012,0.2,0.095664,0.025637,0.070027,0.419498413479784
0.0128,0.2,0.094614,0.025637,0.068977,0.531338422148755
0.0136,0.2,0.095452,0.025637,0.069815,0.653591111751963
0.0144,0.2,0.095471,0.025637,0.069834,0.791157702800054
0.0152,0.2,0.092943,0.025637,0.067306,0.938120844999742
0.016,0.2,0.090124,0.025637,0.064487,1.09101289602246
0.0168,0.2,0.088935,0.025637,0.063298,1.25134196441802
0.0176,0.2,0.086645,0.025637,0.061008,1.42298408775259
0.0184,0.2,0.081991,0.025637,0.056354,1.60116989567403
0.0192,0.2,0.0793855,0.025637,0.0537485,1.78323642855899
0.02,0.2,0.077594,0.025637,0.051957,1.97267341474166
0.0208,0.2,0.071141,0.025637,0.045504,2.16620221968277
0.0216,0.2,0.0647035,0.025637,0.0390665,2.36180582152203
0.0224,0.2,0.062324,0.025637,0.036687,2.56071709251891
0.0232,0.2,0.055724,0.025637,0.030087,2.76060782632094
0.024,0.2,0.049442,0.025637,0.023805,2.96059988990021
0.0248,0.2,0.045984,0.025637,0.020347,3.15976920510699
0.0256,0.2,0.040051,0.025637,0.014414,3.35697302994293
0.0264,0.2,0.035543,0.025637,0.009906,3.55242330051089
0.0272,0.2,0.033195,0.025637,0.007558,3.74385339221945
0.028,0.2,0.028813,0.025637,0.003176,3.931392097935
0.0288,0.2,0.026154,0.025637,0.000517,4.11604047168862
0.0296,0.2,0.025428,0.025637,-0.000209000000000001,4.29491049756546
0.0304,0.2,0.022196,0.025637,-0.003441,4.46894276193588
0.0312,0.2,0.019314,0.025637,-0.006323,4.63955859024707
0.032,0.2,0.0181655,0.025637,-0.0074715,4.80539207102034
0.0328,0.2,0.017972,0.025637,-0.007665,4.96356623916917
0.0336,0.2,0.015601,0.025637,-0.010036,5.11615103914749
0.0344,0.2,0.01349,0.025637,-0.012147,5.26489093129492
0.0352,0.2,0.0148615,0.025637,-0.0107755,5.40836839584084
0.036,0.2,0.016523,0.025637,-0.009114,5.54420425219573
0.0368,0.2,0.014622,0.025637,-0.011015,5.67479079818676
0.0376,0.2,0.012837,0.025637,-0.0128,5.80178298063214
0.0384,0.2,0.0124785,0.025637,-0.0131585,5.92386573030301
0.0392,0.2,0.012329,0.025637,-0.013308,6.03819443171129
0.04,0.2,0.011041,0.025637,-0.014596,6.14710647473307
0.0408,0.2,0.0098609,0.025637,-0.0157761,6.25236513804472
0.0416,0.2,0.0087974,0.025637,-0.0168396,6.35021510906195
0.0424,0.2,0.0078035,0.025637,-0.0178335,6.44242753609086
0.0432,0.2,0.008238,0.025637,-0.017399,6.52895869020917
0.044,0.2,0.0098497,0.025637,-0.0157873,6.61050135925233
0.0448,0.2,0.0091,0.025637,-0.016537,6.68703186908559
0.0456,0.2,0.0083834,0.025637,-0.0172536,6.76021335737718
0.0464,0.2,0.0077322,0.025637,-0.0179048,6.82668688614433
0.0472,0.2,0.0071295,0.025637,-0.0185075,6.88813194379194
0.048,0.2,0.0065755,0.025637,-0.0190615,6.94456250128479
0.0488,0.2,0.0060705,0.025637,-0.0195665,6.99600139709196
0.0496,0.2,0.0056151,0.025637,-0.0200219,7.04248024159878
0.0504,0.2,0.0063604,0.025637,-0.0192766,7.08566908010813
0.0512,0.2,0.0079402,0.025637,-0.0176968,7.12292081093374
0.052,0.2,0.0076197,0.025637,-0.0180173,7.15592092817124
0.0528,0.2,0.0073356,0.025637,-0.0183014,7.18610741352156
0.0536,0.2,0.0071101,0.025637,-0.0185269,7.2107384839463
0.0544,0.2,0.006926,0.025637,-0.018711,7.2312836795978
0.0552,0.2,0.0067805,0.025637,-0.0188565,7.24781148316841
0.056,0.2,0.0066599,0.025637,-0.0189771,7.26169308042337
0.0568,0.2,0.0065706,0.025637,-0.0190664,7.27209109178447
0.0576,0.2,0.0065136,0.025637,-0.0191234,7.27877723635318
0.0584,0.2,0.0064885,0.025637,-0.0191485,7.28173017012647
