Time_s,Current_A,TrueDisplacement_mm,PredictedDisplacement_mm,DisplacementError_mm,TrueCoilForce_N,PredictedCoilForce_N,CoilForceError_N,IsTrainingSample,IsTestingSample
0,0,-3.70201816545187e-09,0.02453147,-0.02453147,-8.5788e-05,0.0005668788,-0.0006526668,1,0
0.0008,0,-0.0029289505951851,-0.026307,0.02337805,-0.00010433,-0.001902692,0.001798362,1,0
0.0016,0,-0.0109917735366608,-8.668085e-05,-0.01090509,-9.6061e-05,0.0008851918,-0.0009812528,1,0
0.0024,0.02,-0.0229750367005682,-0.03412427,0.01114923,0.0096045,0.01024084,-0.0006363351,1,0
0.0032,0.06,-0.0371869851717304,-0.02192916,-0.01525783,0.029143,0.02804217,0.001100833,1,0
0.004,0.1,-0.0487068214300592,-0.04141892,-0.007287897,0.048891,0.04864725,0.0002437527,1,0
0.0048,0.14,-0.0536837399154341,-0.08803262,0.03434888,0.068847,0.06968869,-0.0008416927,1,0
0.0056,0.18,-0.0502836522319132,-0.05074729,0.000463638,0.08899,0.08833559,0.0006544114,1,0
0.0064,0.2,-0.0359939213038425,0.001693829,-0.03768775,0.099071,0.09770722,0.001363781,1,0
0.0072,0.2,-0.008691858042811,0.002974614,-0.01166647,0.098914,0.0990463,-0.0001323048,1,0
0.008,0.2,0.0318043616489821,0.02599154,0.005812818,0.098668,0.09922682,-0.0005588175,1,0
0.0088,0.2,0.085124115021331,0.07165681,0.01346731,0.098321,0.09882964,-0.0005086419,1,0
0.0096,0.2,0.150936903079519,0.1358706,0.01506634,0.097861,0.09817965,-0.0003186458,1,0
0.0104,0.2,0.228871032792095,0.210117,0.01875407,0.097273,0.09753428,-0.0002612766,1,0
0.0112,0.2,0.318530343334166,0.2970577,0.02147263,0.096545,0.09688351,-0.000338513,1,0
0.012,0.2,0.419498413479784,0.3979803,0.02151811,0.095664,0.0962116,-0.0005476048,1,0
0.0128,0.2,0.531338422148755,0.5126673,0.01867112,0.094614,0.0955175,-0.0009035012,1,0
0.0136,0.2,0.653591111751963,0.6409973,0.01259382,0.095452,0.09478731,0.0006646929,1,0
0.0144,0.2,0.791157702800054,0.7822489,0.008908848,0.095471,0.09399758,0.001473425,1,0
0.0152,0.2,0.938120844999742,0.9357165,0.002404335,0.092943,0.09286589,7.710825e-05,1,0
0.016,0.2,1.09101289602246,1.093191,-0.002178132,0.090124,0.09123973,-0.001115728,1,0
0.0168,0.2,1.25134196441802,1.247322,0.004019763,0.088935,0.08896984,-3.48416e-05,1,0
0.0176,0.2,1.42298408775259,1.407637,0.01534756,0.086645,0.08642703,0.0002179671,1,0
0.0184,0.2,1.60116989567403,1.575283,0.02588696,0.081991,0.08354695,-0.001555951,1,0
0.0192,0.2,1.78323642855899,1.752304,0.03093247,0.0793855,0.08025803,-0.0008725342,1,0
0.02,0.2,1.97267341474166,1.94057,0.03210366,0.077594,0.07650039,0.001093607,1,0
0.0208,0.2,2.16620221968277,2.123243,0.04295913,0.071141,0.07207536,-0.0009343595,1,0
0.0216,0.2,2.36180582152203,2.310065,0.05174127,0.0647035,0.06713899,-0.002435492,1,0
0.0224,0.2,2.56071709251891,2.507063,0.05365442,0.062324,0.06190455,0.0004194541,1,0
0.0232,0.2,2.76060782632094,2.707526,0.05308186,0.055724,0.05652952,-0.000805522,1,0
0.024,0.2,2.96059988990021,2.934864,0.02573561,0.049442,0.05136126,-0.001919263,1,0
0.0248,0.2,3.15976920510699,3.145856,0.01391354,0.045984,0.04623278,-0.0002487786,1,0
0.0256,0.2,3.35697302994293,3.340413,0.0165597,0.040051,0.04138208,-0.001331078,1,0
0.0264,0.2,3.55242330051089,3.531713,0.02071029,0.035543,0.03695663,-0.001413634,1,0
0.0272,0.2,3.74385339221945,3.688783,0.05506999,0.033195,0.03358252,-0.0003875235,1,0
0.028,0.2,3.931392097935,3.873123,0.05826893,0.028813,0.03012557,-0.00131257,1,0
0.0288,0.2,4.11604047168862,4.046194,0.06984639,0.026154,0.0270242,-0.000870202,1,0
0.0296,0.2,4.29491049756546,4.229128,0.06578214,0.025428,0.02456847,0.0008595336,1,0
0.0304,0.2,4.46894276193588,4.411169,0.05777419,0.022196,0.02244637,-0.0002503735,1,0
0.0312,0.2,4.63955859024707,4.595527,0.04403142,0.019314,0.02053537,-0.001221367,1,0
0.032,0.2,4.80539207102034,4.764117,0.04127531,0.0181655,0.01888973,-0.0007242289,1,0
0.0328,0.2,4.96356623916917,4.927179,0.03638738,0.017972,0.01770947,0.0002625306,1,0
0.0336,0.2,5.11615103914749,5.092281,0.02387017,0.015601,0.01675777,-0.001156769,1,0
0.0344,0.2,5.26489093129492,5.241615,0.02327564,0.01349,0.01594858,-0.002458581,1,0
0.0352,0.2,5.40836839584084,5.377202,0.03116636,0.0148615,0.01525256,-0.0003910613,1,0
0.036,0.2,5.54420425219573,5.502322,0.04188206,0.016523,0.01464281,0.001880191,1,0
0.0368,0.2,5.67479079818676,5.618299,0.05649227,0.014622,0.01409911,0.0005228854,1,0
0.0376,0.2,5.80178298063214,5.737966,0.06381692,0.012837,0.0134157,-0.0005786998,1,0
0.0384,0.2,5.92386573030301,5.859468,0.06439822,0.0124785,0.01264163,-0.000163132,1,0
0.0392,0.2,6.03819443171129,5.976027,0.06216694,0.012329,0.01191193,0.0004170676,1,0
0.04,0.2,6.14710647473307,6.088724,0.05838282,0.011041,0.01122061,-0.0001796051,1,0
0.0408,0.2,6.25236513804472,6.198467,0.05389836,0.0098609,0.01056354,-0.0007026384,1,0
0.0416,0.2,6.35021510906195,6.306031,0.04418436,0.0087974,0.009937844,-0.001140444,1,0
0.0424,0.2,6.44242753609086,6.407115,0.03531255,0.0078035,0.009392723,-0.001589222,1,0
0.0432,0.2,6.52895869020917,6.489246,0.0397128,0.008238,0.009061043,-0.0008230432,1,0
0.044,0.2,6.61050135925233,6.570687,0.03981454,0.0098497,0.008755117,0.001094583,1,0
0.0448,0.2,6.68703186908559,6.651623,0.03540862,0.0091,0.008472486,0.0006275136,1,0
0.0456,0.2,6.76021335737718,6.731806,0.02840708,0.0083834,0.008160778,0.0002226217,1,0
0.0464,0.2,6.82668688614433,6.800539,0.02614787,0.0077322,0.007765971,-3.377066e-05,1,0
0.0472,0.2,6.88813194379194,6.855568,0.03256401,0.0071295,0.007477041,-0.0003475409,1,0
0.048,0.2,6.94456250128479,6.908935,0.03562791,0.0065755,0.007209414,-0.0006339141,1,0
0.0488,0.2,6.99600139709196,6.960227,0.03577438,0.0060705,0.00696166,-0.00089116,1,0
0.0496,0.2,7.04248024159878,7.0096,0.03288056,0.0056151,0.006806215,-0.001191115,1,0
0.0504,0.2,7.08566908010813,7.056777,0.02889256,0.0063604,0.006763426,-0.0004030261,1,0
0.0512,0.2,7.12292081093374,7.100539,0.02238208,0.0079402,0.00673544,0.00120476,1,0
0.052,0.2,7.15592092817124,7.140542,0.01537937,0.0076197,0.006720304,0.000899396,1,0
0.0528,0.2,7.18610741352156,7.171006,0.01510169,0.0073356,0.006697701,0.0006378992,1,0
0.0536,0.2,7.2107384839463,7.197387,0.01335127,0.0071101,0.006684269,0.0004258307,1,0
0.0544,0.2,7.2312836795978,7.219765,0.01151897,0.006926,0.006678534,0.0002474658,1,0
0.0552,0.2,7.24781148316841,7.238204,0.009607481,0.0067805,0.006678948,0.0001015523,1,0
0.056,0.2,7.26169308042337,7.252833,0.008859714,0.0066599,0.006684349,-2.444938e-05,1,0
0.0568,0.2,7.27209109178447,7.263819,0.008272351,0.0065706,0.006694136,-0.0001235357,1,0
0.0576,0.2,7.27877723635318,7.271342,0.007434959,0.0065136,0.006708331,-0.0001947309,1,0
0.0584,0.2,7.28173017012647,7.275583,0.00614738,0.0064885,0.006727604,-0.0002391037,1,0
0.0592,0.2,7.2810005758773,7.276705,0.004295788,0.0064948,0.006753182,-0.0002583816,1,0
0.06,0.2,7.27666581351621,7.27485,0.001815445,0.0065318,0.00678673,-0.0002549297,1,0
0.0608,0.2,7.26881460097607,7.27014,-0.00132557,0.006599,0.006830215,-0.000231215,1,0
0.0616,0.2,7.25754178494859,7.26267,-0.005128255,0.0066963,0.006885733,-0.000189433,1,0
0.0624,0.2,7.24294652362864,7.249065,-0.006118399,0.0068237,0.006959693,-0.000135993,1,0
0.0632,0.2,7.2251316463505,7.230058,-0.00492607,0.0069814,0.007053295,-7.189468e-05,1,0
0.064,0.2,7.20420344252929,7.208669,-0.004465266,0.0071702,0.00716478,5.420415e-06,1,0
0.0648,0.2,7.18027162912974,7.180898,-0.0006260836,0.0073908,0.007355015,3.578474e-05,1,0
0.0656,0.2,7.15344940993166,7.148992,0.004457825,0.0076444,0.007563423,8.09771e-05,1,0
0.0664,0.2,7.12385359160737,7.114674,0.0091795,0.0079322,0.007758745,0.0001734545,1,0
0.0672,0.2,7.09160473511781,7.091033,0.0005722301,0.0082557,0.008125004,0.0001306956,1,0
0.068,0.2,7.05682732128392,7.064908,-0.008080229,0.0086163,0.008507627,0.0001086729,1,0
0.0688,0.2,7.0196499054102,7.036429,-0.0167795,0.0090153,0.008907334,0.0001079661,1,0
0.0696,0.2,6.98020523096372,7.00574,-0.02553446,0.0094535,0.009324645,0.0001288553,1,0
0.0704,0.2,6.93863026829414,6.973104,-0.03447373,0.0099311,0.009742674,0.0001884256,1,0
0.0712,0.2,6.89506614252242,6.938704,-0.04363787,0.010448,0.01015774,0.000290263,1,0
0.072,0.2,6.84965791629144,6.902548,-0.0528904,0.011002,0.0105922,0.0004098011,1,0
0.0728,0.2,6.80255419925213,6.864797,-0.06224244,0.011591,0.01104555,0.0005454519,1,0
0.0736,0.2,6.75390656775022,6.81813,-0.06422392,0.012212,0.01146693,0.0007450731,1,0
0.0744,0.2,6.70386879499297,6.770058,-0.06618889,0.012859,0.01190478,0.000954223,1,0
0.0752,0.2,6.65259591228151,6.721267,-0.06867083,0.013527,0.01236179,0.001165206,1,0
0.076,0.2,6.60024314227106,6.669919,-0.06967539,0.01421,0.01275263,0.001457374,1,0
0.0768,0.2,6.54696476121741,6.612539,-0.06557453,0.014901,0.01294147,0.001959532,1,0
0.0776,0.2,6.49291295473796,6.553594,-0.06068068,0.015594,0.01311531,0.002478695,1,0
0.0784,0.2,6.43823672874343,6.494638,-0.05640124,0.015312,0.01331236,0.001999638,1,0
0.0792,0.2,6.38180913501756,6.435683,-0.05387364,0.011088,0.01353114,-0.002443136,1,0
0.08,0.2,6.32410745518627,6.376719,-0.05261106,0.011788,0.01377014,-0.001982145,1,0
0.0808,0.2,6.26563221284843,6.317718,-0.05208534,0.012532,0.01402794,-0.001495935,1,0
0.0816,0.2,6.20584157173783,6.258639,-0.05279729,0.013327,0.0143031,-0.0009761049,1,0
0.0824,0.2,6.14530106343568,6.19943,-0.0541294,0.014164,0.0145943,-0.0004302951,1,0
0.0832,0.2,6.08419228841933,6.140037,-0.0558443,0.015039,0.01490019,0.000138812,1,0
0.084,0.2,6.0226983541892,6.080396,-0.05769782,0.015944,0.01521951,0.0007244857,1,0
0.0848,0.2,5.96100229792105,6.020451,-0.05944877,0.016872,0.01555103,0.001320966,1,0
0.0856,0.2,5.89928537110983,5.960145,-0.06085915,0.017813,0.01589353,0.001919468,1,0
0.0864,0.2,5.83772530892178,5.899426,-0.0617002,0.0177,0.0162458,0.001454203,1,0
0.0872,0.2,5.7756233595037,5.838248,-0.06262489,0.015052,0.01660663,-0.001554627,1,0
0.088,0.2,5.71316241769433,5.776726,-0.06356383,0.015959,0.01700853,-0.001049534,1,0
0.0888,0.2,5.65054395378672,5.71471,-0.06416629,0.016888,0.01742302,-0.0005350207,1,0
0.0896,0.2,5.58785360781027,5.652152,-0.06429797,0.017836,0.01784183,-5.825262e-06,1,0
0.0904,0.2,5.5253499738496,5.595016,-0.06966603,0.018796,0.01829638,0.0004996223,1,0
0.0912,0.2,5.46320984706712,5.540146,-0.07693603,0.019762,0.0187678,0.0009942035,1,0
0.092,0.2,5.40160588397708,5.484604,-0.082998,0.020728,0.0192383,0.001489699,1,0
0.0928,0.2,5.34070554843933,5.428406,-0.08770021,0.021688,0.01970626,0.00198174,1,0
0.0936,0.2,5.28067017460737,5.371583,-0.09091329,0.022637,0.02017004,0.002466963,1,0
0.0944,0.2,5.22165418969177,5.312164,-0.09050964,0.023568,0.02060368,0.002964317,1,0
0.0952,0.2,5.16380450876188,5.246554,-0.08274987,0.0229665,0.02112131,0.001845194,1,0
0.096,0.2,5.10629938370036,5.180717,-0.07441761,0.020243,0.02162759,-0.00138459,1,0
0.0968,0.2,5.04930595910615,5.124446,-0.07513995,0.021177,0.02213736,-0.0009603606,1,0
0.0976,0.2,4.99272837084113,5.070023,-0.07729469,0.022131,0.02263553,-0.0005045344,1,0
0.0984,0.2,4.93720210447337,5.01556,-0.07835805,0.023088,0.0231172,-2.919768e-05,1,0
0.0992,0.2,4.88267916953122,4.961186,-0.07850724,0.024046,0.02358108,0.0004649199,1,0
0.1,0.2,4.82931459314365,4.907038,-0.07772362,0.024999,0.02402614,0.0009728613,1,0
0.1008,0.2,4.77725738737011,4.850828,-0.0735703,0.025938,0.02459773,0.001340266,1,0
0.1016,0.2,4.72664956959686,4.797012,-0.07036228,0.026859,0.02521296,0.001646042,1,0
0.1024,0.2,4.6776253460308,4.745949,-0.06832345,0.027756,0.02579714,0.001958864,1,0
0.1032,0.2,4.63031046881751,4.695635,-0.06532485,0.028624,0.02635613,0.002267865,1,0
0.104,0.2,4.58482176086247,4.646422,-0.06160015,0.029461,0.02687173,0.002589274,1,0
0.1048,0.2,4.54126678997942,4.601114,-0.059847,0.030263,0.02729165,0.002971346,1,0
0.1056,0.2,4.49974366676023,4.55654,-0.05679635,0.030152,0.02769326,0.00245874,1,0
0.1064,0.2,4.45936713636438,4.512849,-0.05348219,0.026561,0.02807639,-0.00151539,1,0
0.1072,0.2,4.42025804629284,4.479156,-0.0588975,0.027349,0.02849282,-0.001143821,1,0
0.108,0.2,4.38204661435952,4.451766,-0.0697194,0.028134,0.02892039,-0.0007863878,1,0
0.1088,0.2,4.34578018087032,4.425283,-0.07950325,0.028895,0.02932715,-0.0004321504,1,0
0.1096,0.2,4.31111376231118,4.399804,-0.08868988,0.029636,0.029713,-7.699924e-05,1,0
0.1104,0.2,4.27814426528441,4.375412,-0.09726725,0.030353,0.03007785,0.0002751514,1,0
0.1112,0.2,4.24696105476473,4.342119,-0.09515816,0.031041,0.03051567,0.0005253292,1,0
0.112,0.2,4.21764539219244,4.307383,-0.08973767,0.031698,0.03098107,0.0007169343,1,0
0.1128,0.2,4.19026993204998,4.275837,-0.08556701,0.032319,0.03143706,0.000881942,1,0
0.1136,0.2,4.16489829058061,4.246548,-0.08164941,0.032901,0.03190588,0.0009951217,1,0
0.1144,0.2,4.14158469594225,4.219209,-0.07762402,0.03344,0.0323428,0.001097205,1,0
0.1152,0.2,4.12037372487684,4.193869,-0.07349539,0.033935,0.03274745,0.001187545,1,0
0.116,0.2,4.10130012727567,4.170565,-0.069265,0.034384,0.03311958,0.001264422,1,0
0.1168,0.2,4.08438873704884,4.14932,-0.06493139,0.034783,0.03345894,0.001324056,1,0
0.1176,0.2,4.06965446553092,4.130147,-0.06049299,0.035133,0.03376541,0.001367595,1,0
0.1184,0.2,4.05710237223305,4.113048,-0.05594571,0.035432,0.03403889,0.00139311,1,0
0.1192,0.2,4.04672780696996,4.098015,-0.05128703,0.03568,0.0342794,0.001400601,1,0
0.12,0.2,4.03851661710519,4.08503,-0.04651346,0.035877,0.03448701,0.001389995,1,0
0.1208,0.2,4.03244541372353,4.074069,-0.04162361,0.036023,0.03466187,0.00136113,1,0
0.1216,0.2,4.02848189083053,4.065098,-0.03661592,0.036118,0.03480424,0.001313764,1,0
0.1224,0.2,4.0265851920894,4.058077,-0.03149167,0.036163,0.03491443,0.001248574,1,0
0.1232,0.2,4.0267063200613,4.052959,-0.02625265,0.03616,0.03499286,0.001167145,1,0
0.124,0.2,4.02878858335855,4.049691,-0.02090262,0.03611,0.03504001,0.00106999,1,0
0.1248,0.2,4.03276807751425,4.048216,-0.01544827,0.036015,0.03505648,0.0009585245,1,0
0.1256,0.2,4.03857419569103,4.049995,-0.01142075,0.035875,0.03502503,0.0008499659,1,0
0.1264,0.2,4.0461301655798,4.054986,-0.008855358,0.035694,0.03494612,0.0007478787,1,0
0.1272,0.2,4.05535360896607,4.061673,-0.006319555,0.035474,0.03483751,0.0006364858,1,0
0.128,0.2,4.06615712046445,4.069973,-0.003815395,0.035216,0.03470024,0.0005157628,1,0
0.1288,0.2,4.07797381931457,4.079795,-0.001821064,0.034935,0.0345354,0.0003996032,1,0
0.1296,0.2,4.09108619655797,4.09105,3.652538e-05,0.034624,0.03434414,0.0002798558,1,0
0.1304,0.2,4.1055265887537,4.104026,0.001500271,0.034284,0.03410981,0.0001741915,1,0
0.1312,0.2,4.12124038672463,4.117136,0.004104862,0.033915,0.03384421,7.078607e-05,1,0
0.132,0.2,4.13814170319925,4.131411,0.006731105,0.03352,0.03355588,-3.588391e-05,1,0
0.1328,0.2,4.1561326209184,4.146762,0.009370727,0.033102,0.03324624,-0.0001442378,1,0
0.1336,0.2,4.17511011306804,4.1631,0.01201035,0.032665,0.03291671,-0.0002517135,1,0
0.1344,0.2,4.19496878893748,4.180335,0.01463422,0.032211,0.03256875,-0.0003577528,1,0
0.1352,0.2,4.21560221939357,4.198379,0.01722366,0.031743,0.03220381,-0.0004608122,1,0
0.136,0.2,4.23690376965187,4.217144,0.01975928,0.031265,0.03182333,-0.0005583334,1,0
0.1368,0.2,4.25876724893742,4.236548,0.02221883,0.030779,0.03142876,-0.000649758,1,0
