Epoch,Iteration,TrainingLoss,ValidationLoss,TrainingRMSE,ValidationRMSE,BaseLearnRate
1,1,1.018379807472229,0.03267701342701912,1.0091480016708374,0.18076784908771515,0.001
2,2,1.014251470565796,0.030788488686084747,1.0071005821228027,0.17546649277210236,0.001
3,3,1.0103503465652466,0.02898869849741459,1.0051618814468384,0.17026068270206451,0.001
4,4,1.0067319869995117,0.027260979637503624,1.003360390663147,0.16510899364948273,0.001
5,5,1.0033271312713623,0.02561725489795208,1.0016621351242065,0.16005390882492065,0.001
6,6,0.9998536705970764,0.024063579738140106,0.9999268054962158,0.15512439608573914,0.001
7,7,0.9962812066078186,0.022607507184147835,0.9981388449668884,0.1503579318523407,0.001
8,8,0.9925589561462402,0.021256044507026672,0.9962725043296814,0.14579452574253082,0.001
9,9,0.9886975884437561,0.019999952986836433,0.9943327307701111,0.14142118394374847,0.001
10,10,0.9846146106719971,0.018914183601737022,0.9922775030136108,0.13752885162830353,0.001
11,11,0.9802142977714539,0.018071211874485016,0.9900577068328857,0.1344292014837265,0.001
12,12,0.9753811955451965,0.01736135594546795,0.9876139163970947,0.13176250457763672,0.001
13,13,0.9698824882507324,0.016628343611955643,0.9848261475563049,0.12895093858242035,0.001
14,14,0.9636948704719543,0.01593223214149475,0.9816796183586121,0.12622295320034027,0.001
15,15,0.9565244913101196,0.015264250338077545,0.9780207276344299,0.12354857474565506,0.001
16,16,0.9481365084648132,0.014493347145617008,0.9737229943275452,0.12038832157850266,0.001
17,17,0.9382578134536743,0.013690796680748463,0.9686371088027954,0.11700768023729324,0.001
18,18,0.9264796376228333,0.012912081554532051,0.9625381231307983,0.11363133788108826,0.001
19,19,0.9121484160423279,0.01217712089419365,0.955064594745636,0.11034999042749405,0.001
20,20,0.8944131731987,0.011503119952976704,0.9457342028617859,0.10725259780883789,0.001
21,21,0.8721189498901367,0.010888978838920593,0.9338731169700623,0.1043502688407898,0.001
22,22,0.8444394469261169,0.010335774160921574,0.9189338684082031,0.10166501253843307,0.001
23,23,0.8104072213172913,0.009980143047869205,0.9002262353897095,0.09990066289901733,0.001
24,24,0.7681323885917664,0.009822477586567402,0.8764316439628601,0.09910841286182404,0.001
25,25,0.7225799560546875,0.0094493068754673,0.8500470519065857,0.09720754623413086,0.001
26,26,0.7097693681716919,0.008338232524693012,0.8424780964851379,0.0913139209151268,0.001
27,27,0.7183701992034912,0.008319570682942867,0.8475672006607056,0.09121168404817581,0.001
28,28,0.6655552387237549,0.00947047770023346,0.8158156871795654,0.09731637686491013,0.001
29,29,0.6045424342155457,0.011323351413011551,0.7775232791900635,0.10641123354434967,0.001
30,30,0.5786213278770447,0.013424208387732506,0.7606716156005859,0.1158628836274147,0.001
31,31,0.5635998845100403,0.015365567058324814,0.7507328987121582,0.12395792454481125,0.001
32,32,0.5399255156517029,0.01725841872394085,0.7347962260246277,0.13137130439281464,0.001
33,33,0.5054097175598145,0.019346248358488083,0.7109217643737793,0.13909079134464264,0.001
34,34,0.47138479351997375,0.021788572892546654,0.6865746974945068,0.14760953187942505,0.001
35,35,0.46526917815208435,0.02451251819729805,0.6821064352989197,0.15656474232673645,0.001
36,36,0.45941978693008423,0.02738095261156559,0.6778051257133484,0.1654719114303589,0.001
37,37,0.42555248737335205,0.03013581410050392,0.6523438692092896,0.17359669506549835,0.001
38,38,0.39737504720687866,0.03255564346909523,0.630376935005188,0.18043182790279388,0.001
39,39,0.3923643231391907,0.034971289336681366,0.6263899207115173,0.1870061159133911,0.001
40,40,0.384149968624115,0.037393610924482346,0.6197983026504517,0.19337427616119385,0.001
41,41,0.3678423762321472,0.039879605174064636,0.6065000891685486,0.1996987909078598,0.001
42,42,0.3584408760070801,0.04249522089958191,0.5986993312835693,0.20614369213581085,0.001
43,43,0.3621143698692322,0.0448981411755085,0.6017593741416931,0.21189181506633759,0.001
44,44,0.3562524616718292,0.046835485845804214,0.5968688726425171,0.21641507744789124,0.001
45,45,0.3470674455165863,0.04862447828054428,0.589124321937561,0.2205095887184143,0.001
46,46,0.34933677315711975,0.05040668696165085,0.5910471677780151,0.22451433539390564,0.001
47,47,0.350576251745224,0.052174162119627,0.5920947790145874,0.22841663658618927,0.001
48,48,0.3462057411670685,0.053932834416627884,0.5883924961090088,0.2322344332933426,0.001
49,49,0.34570690989494324,0.05567948520183563,0.5879684686660767,0.23596501350402832,0.001
50,50,0.34761902689933777,0.05738747864961624,0.5895922780036926,0.23955683410167694,0.001
51,51,0.3429500162601471,0.05901643633842468,0.585619330406189,0.242932990193367,0.001
52,52,0.34041234850883484,0.06060284003615379,0.5834486484527588,0.24617643654346466,0.001
53,53,0.3400329351425171,0.06210872903466225,0.5831234455108643,0.249216228723526,0.001
54,54,0.3363361358642578,0.06351790577173233,0.5799449682235718,0.25202760100364685,0.001
55,55,0.33181434869766235,0.06482836604118347,0.5760332942008972,0.2546141445636749,0.001
56,56,0.3304639458656311,0.06600421667098999,0.5748599171638489,0.25691285729408264,0.001
57,57,0.3276498019695282,0.06705434620380402,0.5724070072174072,0.25894853472709656,0.001
58,58,0.3233731687068939,0.06796861439943314,0.5686591267585754,0.26070791482925415,0.001
59,59,0.3216034471988678,0.06873562932014465,0.5671009421348572,0.2621748149394989,0.001
