Time_s,Current_A,CurrentForModel_A,CoilForce_N,CoilForceForModel_N,WeightLoad_N,NetForce_N,Displacement_mm,DisplacementForModel_mm
0.0,0.0,0.0,-8.5788e-05,-8.5788e-05,0.025637,-0.025722788,-3.70201816545187e-09,-3.70201816545187e-09
0.0008,0.0,0.0,-0.00010433,-0.00010433,0.025637,-0.02574133,-0.0029289505951851,-0.0029289505951851
0.0016,0.0,0.0,-9.6061e-05,-9.6061e-05,0.025637,-0.025733061,-0.0109917735366608,-0.0109917735366608
0.0024,0.02,0.02,0.0096045,0.0096045,0.025637,-0.016032499999999998,-0.0229750367005682,-0.0229750367005682
0.0032,0.06,0.06,0.029143,0.029143,0.025637,0.0035059999999999987,-0.0371869851717304,-0.0371869851717304
0.004,0.1,0.1,0.048891,0.048891,0.025637,0.023253999999999997,-0.0487068214300592,-0.0487068214300592
0.0048,0.14,0.14,0.068847,0.068847,0.025637,0.043210000000000005,-0.0536837399154341,-0.0536837399154341
0.0056,0.18,0.18,0.08899,0.08899,0.025637,0.06335299999999999,-0.0502836522319132,-0.0502836522319132
0.0064,0.2,0.2,0.099071,0.099071,0.025637,0.073434,-0.0359939213038425,-0.0359939213038425
0.0072,0.2,0.2,0.098914,0.098914,0.025637,0.07327700000000001,-0.008691858042811,-0.008691858042811
0.008,0.2,0.2,0.098668,0.098668,0.025637,0.07303100000000001,0.0318043616489821,0.0318043616489821
0.0088,0.2,0.2,0.098321,0.098321,0.025637,0.072684,0.085124115021331,0.085124115021331
0.0096,0.2,0.2,0.097861,0.097861,0.025637,0.07222400000000001,0.150936903079519,0.150936903079519
0.0104,0.2,0.2,0.097273,0.097273,0.025637,0.071636,0.228871032792095,0.228871032792095
0.0112,0.2,0.2,0.096545,0.096545,0.025637,0.070908,0.318530343334166,0.318530343334166
0.012,0.2,0.2,0.095664,0.095664,0.025637,0.070027,0.419498413479784,0.419498413479784
0.0128,0.2,0.2,0.094614,0.094614,0.025637,0.06897700000000001,0.531338422148755,0.531338422148755
0.0136,0.2,0.2,0.09545200000000001,0.09545200000000001,0.025637,0.06981500000000002,0.653591111751963,0.653591111751963
