Time_s,TrueDisplacement_mm,PredictedDisplacement_mm,DisplacementError_mm,TrueCoilForce_N,PredictedCoilForce_N,CoilForceError_N,IsTrainingSample,IsValidationSample,IsTestingSample
0.0232,2.76060782632094,2.8204423492694266,-0.05983452294848668,0.055724,0.05420215334794915,0.0015218466520508511,True,False,False
0.024,2.96059988990021,3.0565039275049353,-0.0959040376047251,0.049442,0.04760436728427431,0.0018376327157256928,False,True,False
0.0248,3.15976920510699,3.205409904542343,-0.045640699435353316,0.045984,0.04441205310923174,0.0015719468907682554,True,False,False
0.0256,3.35697302994293,3.4301506458728337,-0.0731776159299038,0.040051,0.03847104797319066,0.001579952026809342,True,False,False
0.0264,3.55242330051089,3.647300440289606,-0.09487713977871604,0.035543,0.03431101584049702,0.0012319841595029787,True,False,False
0.0272,3.74385339221945,3.7427916999603514,0.0010616922590984679,0.033195,0.03252213681105092,0.0006728631889490813,True,False,False
0.028,3.931392097935,3.950969110913847,-0.019577012978847286,0.028813,0.028596895413377267,0.00021610458662273124,False,False,True
0.0288,4.116040471688625,4.121651173090843,-0.005610701402217977,0.026154,0.02619303646905609,-3.9036469056088346e-05,True,False,False
0.0296,4.29491049756546,4.319274922919782,-0.024364425354322705,0.025428,0.025632542775770345,-0.0002045427757703458,True,False,False
0.0304,4.46894276193588,4.5345159039754,-0.06557314203952025,0.022196,0.02130449160840919,0.000891508391590811,True,False,False
0.0312,4.63955859024707,4.588520792437351,0.05103779780971873,0.019314,0.020671483547887032,-0.0013574835478870305,False,True,False
0.032,4.805392071020345,4.656266561817842,0.149125509202503,0.0181655,0.019917139263074035,-0.001751639263074034,True,False,False
0.0328,4.96356623916917,4.735627973319372,0.22793826584979815,0.017972,0.019045064314613586,-0.0010730643146135872,True,False,False
0.0336,5.11615103914749,4.822340132292007,0.29381090685548283,0.015601,0.01809772916610561,-0.002496729166105608,True,False,False
0.0344,5.26489093129492,4.978810672090322,0.28608025920459745,0.01349,0.01725229208324192,-0.003762292083241919,False,False,True
0.0352,5.40836839584084,5.14237771977867,0.2659906760621702,0.0148615,0.016495780900769863,-0.0016342809007698633,False,False,True
0.036,5.54420425219573,5.296238904555585,0.24796534764014488,0.016523,0.01578224332585481,0.0007407566741451897,False,False,True
0.0368,5.67479079818676,5.44175836250471,0.23303243568205012,0.014622,0.015102795352038711,-0.00048079535203871156,False,True,False
0.0376,5.80178298063214,5.581863339997175,0.2199196406349655,0.012837,0.01444362563204251,-0.0016066256320425108,True,False,False
0.0384,5.92386573030301,5.712292570204059,0.21157316009895144,0.0124785,0.01375264461253157,-0.0012741446125315702,True,False,False
0.0392,6.03819443171129,5.836030854641267,0.20216357707002253,0.012329,0.013029420375009163,-0.0007004203750091628,True,False,False
0.04,6.14710647473307,5.962949786391536,0.18415668834153376,0.011041,0.012277452098501625,-0.0012364520985016243,True,False,False
0.0408,6.25236513804472,6.079996823525894,0.17236831451882573,0.0098609,0.011488368051977262,-0.001627468051977261,False,False,True
0.0416,6.35021510906195,6.191681394676278,0.15853371438567176,0.0087974,0.010765775712128712,-0.0019683757121287115,False,False,True
0.0424,6.44242753609086,6.298405443564945,0.14402209252591547,0.0078035,0.01011987766957739,-0.0023163776695773897,True,False,False
0.0432,6.52895869020917,6.399974179760854,0.1289845104483165,0.008238,0.009549204670916883,-0.0013112046709168827,True,False,False
0.044,6.61050135925233,6.496243771939534,0.114257587312796,0.0098497,0.009051497590648456,0.0007982024093515436,True,False,False
0.0448,6.68703186908559,6.586900927132176,0.10013094195341399,0.0091,0.008621482092118632,0.0004785179078813685,True,False,False
0.0456,6.76021335737718,6.672083596766336,0.08812976061084399,0.0083834,0.00825539600998594,0.00012800399001405838,True,False,False
0.0464,6.82668688614433,6.751955664122618,0.07473122202171201,0.0077322,0.007949446131913382,-0.00021724613191338206,True,False,False
0.0472,6.88813194379194,6.826329123266419,0.06180282052552144,0.0071295,0.007699389977275598,-0.0005698899772755978,True,False,False
0.048,6.94456250128479,6.894534118249505,0.05002838303528545,0.0065755,0.007499774232621312,-0.0009242742326213121,False,True,False
0.0488,6.99600139709196,6.955782742885631,0.04021865420632853,0.0060705,0.0073432462388899715,-0.0012727462388899711,True,False,False
0.0496,7.04248024159878,7.009723107959591,0.03275713363918964,0.0056151,0.007220838893253121,-0.0016057388932531214,True,False,False
0.0504,7.085669080108126,7.056683281565768,0.028985798542358054,0.0063604,0.007123342195799586,-0.0007629421957995857,False,False,True
0.0512,7.12292081093374,7.097479363242266,0.02544144769147394,0.0079402,0.007042884820013962,0.0008973151799860375,False,False,True
0.052,7.15592092817124,7.133067213153797,0.022853715017443044,0.0076197,0.006973841780822599,0.0006458582191774011,False,False,True
0.0528,7.18610741352156,7.164292179556435,0.021815233965124747,0.0073356,0.006912821650536607,0.0004227783494633935,True,False,False
0.0536,7.2107384839463,7.191621035805062,0.01911744814123839,0.0071101,0.006855200253114927,0.00025489974688507316,True,False,False
0.0544,7.2312836795978,7.214456444680028,0.016827234917771605,0.006926,0.006782583156849167,0.00014341684315083252,True,False,False
0.0552,7.24781148316841,7.234385375281291,0.013426107887118732,0.0067805,0.0067182976131502925,6.220238684970757e-05,True,False,False
0.056,7.26169308042337,7.251525727080271,0.010167353343099705,0.0066599,0.00666279654289436,-2.896542894360171e-06,False,False,True
0.0568,7.27209109178447,7.265897401266518,0.00619369051795271,0.0065706,0.006616887167965317,-4.628716796531689e-05,False,True,False
0.0576,7.27877723635318,7.2774461218685325,0.001331114484647955,0.0065136,0.006581665264676212,-6.806526467621234e-05,False,True,False
0.0584,7.28173017012647,7.28605489401442,-0.004324723887950022,0.0064885,0.0065585224689446164,-7.002246894461609e-05,True,False,False
0.0592,7.2810005758773,7.2915608897896895,-0.010560313912389319,0.0064948,0.006549142623704915,-5.434262370491473e-05,True,False,False
0.06,7.27666581351621,7.293765700365197,-0.017099886848986223,0.0065318,0.006555565699193237,-2.3765699193237406e-05,True,False,False
0.0608,7.26881460097607,7.292457046385751,-0.0236424454096813,0.006599,0.0065802188399429855,1.878116005701435e-05,True,False,False
0.0616,7.25754178494859,7.287427171493787,-0.0298853865451969,0.0066963,0.006625921843666404,7.037815633359566e-05,True,False,False
0.0624,7.24294652362864,7.278498171116063,-0.03555164748742268,0.0068237,0.00669589994531157,0.00012780005468842996,False,False,True
0.0632,7.2251316463505,7.265542798252731,-0.04041115190223099,0.0069814,0.006793687023488065,0.00018771297651193428,True,False,False
0.064,7.20420344252929,7.248499540136098,-0.04429609760680808,0.0071702,0.006922994107309413,0.0002472058926905867,True,False,False
0.0648,7.18027162912974,7.227387996422535,-0.047116367292795225,0.0073908,0.007087417169376272,0.00030338283062372826,True,False,False
0.0656,7.15344940993166,7.202309783792013,-0.0488603738603528,0.0076444,0.007290108392882515,0.00035429160711748526,True,False,False
0.0664,7.12385359160737,7.1734557727443,-0.04960218113693049,0.0079322,0.007533332382208439,0.00039886761779156163,True,False,False
0.0672,7.09160473511781,7.141109404463884,-0.04950466934607345,0.0082557,0.007818113688206747,0.0004375863117932529,True,False,False
0.068,7.05682732128392,7.105646992353149,-0.048819671069229464,0.0086163,0.008144119925395814,0.00047218007460418654,True,False,False
0.0688,7.0196499054102,7.067517971609412,-0.04786806619921169,0.0090153,0.008510056251432387,0.0005052437485676131,False,False,True
0.0696,6.98020523096372,7.027200875381381,-0.04699564441766135,0.0094535,0.008914724617547533,0.0005387753824524673,True,False,False
0.0704,6.93863026829414,6.985122825411423,-0.04649255711728362,0.0099311,0.009358607165318993,0.0005724928346810074,True,False,False
0.0712,6.89506614252242,6.941568770549903,-0.04650262802748362,0.010448,0.009845170200483713,0.0006028297995162874,True,False,False
0.072,6.84965791629144,6.896610174159292,-0.04695225786785251,0.011002,0.010380557375570185,0.000621442624429815,True,False,False
0.0728,6.80255419925213,6.85010802944592,-0.04755383019378989,0.011591,0.010970156257450903,0.000620843742549098,True,False,False
0.0736,6.75390656775022,6.801850660120947,-0.047944092370727276,0.012212,0.011611658410693044,0.0006003415893069564,False,True,False
0.0744,6.70386879499297,6.751842287648823,-0.04797349265585282,0.012859,0.012287161589782167,0.0005718384102178335,True,False,False
0.0752,6.65259591228151,6.699367072272127,-0.04677115999061687,0.013527,0.01294179936157698,0.0005852006384230203,False,True,False
0.076,6.60024314227106,6.646530017085446,-0.046286874814386536,0.01421,0.013539910599116235,0.0006700894008837659,True,False,False
0.0768,6.54696476121741,6.59538305534457,-0.04841829412715981,0.014901,0.014038909782287133,0.0008620902177128662,True,False,False
0.0776,6.49291295473796,6.54598800135037,-0.05307504661240969,0.015594,0.014378503645758009,0.0012154963542419916,True,False,False
0.0784,6.43823672874343,6.495640554822972,-0.05740382607954242,0.015312,0.014472146863177321,0.000839853136822678,False,True,False
0.0792,6.38180913501756,6.4392448051050915,-0.05743567008753114,0.011088,0.014227343129666751,-0.0031393431296667506,True,False,False
0.08,6.32410745518627,6.382496110805888,-0.058388655619618035,0.011788,0.013837884138776726,-0.0020498841387767263,False,True,False
0.0808,6.26563221284843,6.331771898576343,-0.06613968572791329,0.012532,0.013627438471561807,-0.0010954384715618076,True,False,False
0.0816,6.20584157173783,6.28179835318593,-0.0759567814480997,0.013327,0.013682194413924867,-0.00035519441392486625,True,False,False
0.0824,6.14530106343568,6.226509984053189,-0.0812089206175095,0.014164,0.013940866109824,0.00022313389017599924,False,True,False
0.0832,6.08419228841933,6.164278662799779,-0.08008637438044897,0.015039,0.014329308768183672,0.0007096912318163284,True,False,False
0.084,6.0226983541892,6.096714425813542,-0.07401607162434232,0.015944,0.014790202330068291,0.0011537976699317089,False,True,False
0.0848,5.96100229792105,6.026671284595734,-0.0656689866746838,0.016872,0.015281167646570684,0.0015908323534293174,True,False,False
0.0856,5.89928537110983,5.956857610124092,-0.05757223901426212,0.017813,0.015773085375318505,0.0020399146246814943,True,False,False
0.0864,5.83772530892178,5.889145320348936,-0.051420011427155465,0.0177,0.016248864145268965,0.0014511358547310352,True,False,False
0.0872,5.7756233595037,5.82444406547591,-0.048820705972209666,0.015052,0.016701119337219045,-0.0016491193372190453,True,False,False
0.088,5.71316241769433,5.762902350593695,-0.049739932899364625,0.015959,0.017129036424109383,-0.0011700364241093823,True,False,False
0.0888,5.65054395378672,5.704218944060479,-0.05367499027375899,0.016888,0.017535357586163376,-0.000647357586163376,True,False,False
0.0896,5.58785360781027,5.643765085490324,-0.055911477680054666,0.017836,0.018006330463834194,-0.00017033046383419306,True,False,False
0.0904,5.5253499738496,5.580445832541559,-0.05509585869195899,0.018796,0.01855523677918291,0.00024076322081709178,True,False,False
0.0912,5.46320984706712,5.518544388581585,-0.0553345415144646,0.019762,0.019095171425968532,0.000666828574031466,True,False,False
0.092,5.40160588397708,5.457819677836998,-0.05621379385991787,0.020728,0.0196283419368884,0.0010996580631115992,True,False,False
0.0928,5.34070554843933,5.398173023576285,-0.057467475136954604,0.021688,0.02015572903174269,0.00153227096825731,True,False,False
0.0936,5.28067017460737,5.3396280207703875,-0.05895784616301736,0.022637,0.02067719619506573,0.0019598038049342716,True,False,False
0.0944,5.22165418969177,5.281235066067978,-0.05958087637620846,0.023568,0.021179742954050125,0.0023882570459498736,True,False,False
0.0952,5.163804508761885,5.2198373332768195,-0.05603282451493463,0.0229665,0.02163253964212824,0.001333960357871762,True,False,False
0.096,5.10629938370036,5.159837621359843,-0.053538237659482846,0.020243,0.02207198201296453,-0.0018289820129645286,True,False,False
0.0968,5.04930595910615,5.10154006421567,-0.052234105109519646,0.021177,0.02249598580869689,-0.001318985808696889,True,False,False
0.0976,4.99272837084113,5.045248758051275,-0.05252038721014518,0.022131,0.02290249873160567,-0.0007714987316056673,True,False,False
0.0984,4.93720210447337,4.98897746615137,-0.051775361678000564,0.023088,0.0233879456729382,-0.0002999456729381976,True,False,False
0.0992,4.88267916953122,4.928377590141228,-0.04569842061000795,0.024046,0.02403604850874607,9.951491253930994e-06,True,False,False
0.1,4.82931459314365,4.870816339318727,-0.041501746175077514,0.024999,0.024650697522003284,0.00034830247799671685,True,False,False
0.1008,4.77725738737011,4.81645341319167,-0.039196025821560454,0.025938,0.025229655274450636,0.0007083447255493633,False,False,True
0.1016,4.72664956959686,4.7653482891788235,-0.038698719581963914,0.026859,0.025771803161101888,0.0010871968388981128,True,False,False
0.1024,4.6776253460308,4.717439878543516,-0.039814532512715495,0.027756,0.0262773585109258,0.0014786414890742006,False,True,False
0.1032,4.63031046881751,4.6725297536107835,-0.04221928479327364,0.028624,0.026748080936649852,0.0018759190633501482,True,False,False
0.104,4.58482176086247,4.6303067886815095,-0.045485027819039736,0.029461,0.02718496763038873,0.0022760323696112694,True,False,False
0.1048,4.54126678997942,4.59182432394213,-0.05055753396271001,0.030263,0.02754438502904543,0.0027186149709545714,False,False,True
0.1056,4.49974366676023,4.5552419233903745,-0.05549825663014474,0.030151999999999998,0.027886103442986598,0.0022658965570134006,True,False,False
0.1064,4.45936713636438,4.519638520963054,-0.06027138459867398,0.026561,0.028216978237163213,-0.0016559782371632116,True,False,False
0.1072,4.42025804629284,4.484480115541631,-0.0642220692487907,0.027349,0.028542703453385332,-0.0011937034533853336,False,True,False
0.108,4.38204661435952,4.44929317283207,-0.06724655847255079,0.028134,0.028868305623058962,-0.0007343056230589631,True,False,False
