Evaluation,Kind,Output,Unit,Samples,Pass95,PassCriterion,MSE,RMSE,MAE,MaxAbsError,SignalRange,NRMSE_percent,R2,Fit_percent,ReferenceIsFlat,Test_origin
Load2_DCChirp_67mA_31Hz_7s,one_step_training,Displacement,mm,3601,True,Fit_percent >= 95,3.587726112626007e-08,0.00018941293811738436,0.00012425149450568003,0.004508453712332994,2.8981300741434097,0.006535694853978163,0.99999976926703,99.95196532815615,False,Total_Data.xlsx development
Load2_DCChirp_67mA_31Hz_7s,one_step_training,Lorentz force,N,3601,True,Fit_percent >= 95,1.064739509182125e-08,0.00010318621560955344,6.0384349260112994e-05,0.0007189996540546417,0.04143681054119952,0.24902065159421025,0.9997052359963791,98.28313074574393,False,Total_Data.xlsx development
Load2_DCChirp_87mA_31Hz_7s,one_step_training,Displacement,mm,3601,True,Fit_percent >= 95,2.6249982991408943e-08,0.00016201846497053643,7.664573606338305e-05,0.004508453712332994,3.0337198972702026,0.005340587478637156,0.9999998355400842,99.95944634223089,False,Total_Data.xlsx development
Load2_DCChirp_87mA_31Hz_7s,one_step_training,Lorentz force,N,3601,True,Fit_percent >= 95,9.834801117644918e-09,9.917056578261978e-05,4.606141631008622e-05,0.0011775605380535126,0.05149580960278399,0.1925798750375572,0.9997519577425761,98.42506426345722,False,Total_Data.xlsx development
Load2_DCChirp_107mA_31Hz_7s,one_step_training,Displacement,mm,3601,True,Fit_percent >= 95,2.5521481180353956e-08,0.00015975444025238846,7.295214012977167e-05,0.004508453712332994,3.1139999628067017,0.005130200454736006,0.9999998506435018,99.96135333155715,False,Total_Data.xlsx development
Load2_DCChirp_107mA_31Hz_7s,one_step_training,Lorentz force,N,3601,True,Fit_percent >= 95,2.124196815750376e-08,0.0001457462457749899,5.3948573672122914e-05,0.00418273638933897,0.06053080831770785,0.24078027342706554,0.999484579524699,97.72971262765925,False,Total_Data.xlsx development
Load2_DCChirp_127mA_31Hz_7s,one_step_training,Displacement,mm,3601,True,Fit_percent >= 95,2.2809296285317434e-08,0.00015102746864500323,6.361817834034755e-05,0.004508453712332994,3.0293301343917847,0.004985507090508175,0.9999998704274768,99.96400381643679,False,Total_Data.xlsx development
Load2_DCChirp_127mA_31Hz_7s,one_step_training,Lorentz force,N,3601,True,Fit_percent >= 95,4.158765566334735e-08,0.0002039305167534946,0.00011470659442280358,0.0041899532079696655,0.07160980676417239,0.2847801522842881,0.9991398587317005,97.06718348971586,False,Total_Data.xlsx development
Load2_DCChirp_107mA_51Hz_11s,one_step_training,Displacement,mm,5601,True,Fit_percent >= 95,1.8744273292320125e-05,0.004329465705178888,0.0034918641524035476,0.016595497727394104,4.585900068283081,0.09440819993270808,0.9999195381845203,99.1029948970063,False,Total_Data.xlsx development
Load2_DCChirp_107mA_51Hz_11s,one_step_training,Lorentz force,N,5601,True,Fit_percent >= 95,2.8879781704506972e-08,0.00016994052402092614,6.321826621326484e-05,0.0017263777554035187,0.06482677674557635,0.2621455709388213,0.9996900174897995,98.23936798222749,False,Total_Data.xlsx development
