record,sheet,first_column,load_mass_g,total_mass_g,mass_ratio,family,block,role,start_sample,stop_sample,start_time_s,end_time_s
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,0,training,199,599,0.0,0.39899998903274536
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,1,training,599,999,0.4000000059604645,0.7990000247955322
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,2,validation,999,1399,0.800000011920929,1.1990000009536743
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,3,training,1399,1799,1.2000000476837158,1.5989999771118164
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,4,training,1799,2199,1.600000023841858,1.9989999532699585
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,5,test,2199,2599,2.0,2.3989999294281006
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,6,training,2599,2999,2.4000000953674316,2.7990000247955322
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,7,training,2999,3399,2.799999952316284,3.1989998817443848
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,8,validation,3399,3799,3.200000047683716,3.5989999771118164
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,9,training,3799,4199,3.5999999046325684,3.999000072479248
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,10,training,4199,4599,4.0,4.39900016784668
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,11,test,4599,4999,4.400000095367432,4.798999786376953
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,12,training,4999,5399,4.800000190734863,5.198999881744385
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,13,training,5399,5799,5.199999809265137,5.598999977111816
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,14,validation,5799,6199,5.599999904632568,5.999000072479248
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,15,training,6199,6599,6.0,6.39900016784668
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,16,training,6599,6999,6.400000095367432,6.798999786376953
Load2_DCChirp_67mA_31Hz_7s,DC_Offset_67mA,0,3.813,5.24,1.0,dc_plus_chirp,17,test,6999,7200,6.800000190734863,7.0
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,0,training,199,599,0.0,0.39899998903274536
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,1,training,599,999,0.4000000059604645,0.7990000247955322
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,2,validation,999,1399,0.800000011920929,1.1990000009536743
