Evaluation,Kind,Output,Unit,Samples,MSE,RMSE,MAE,MaxAbsError,SignalRange,NRMSE_percent,R2,Fit_percent,ReferenceIsFlat,RMSE_physics_only,R2_physics_only,NetworkHelps
Load2_DCChirp_67mA_31Hz_7s,internal_test,Displacement,mm,1001,0.000260730137662443,0.016147140231707997,0.011240346633523775,0.053862810134887695,2.3945206236094236,0.6743370707481448,0.9988204975342094,96.56561145792935,False,0.048620398940230736,0.9893058897975625,True
Load2_DCChirp_67mA_31Hz_7s,internal_test,Lorentz force,N,1001,6.92097982273288e-08,0.00026307755173584995,0.00015058553034251744,0.001029936596751213,0.024979999288916588,1.053152759105863,0.9986412804679706,96.31391870405801,False,0.0008616354310745705,0.985424974146835,True
Load2_DCChirp_87mA_31Hz_7s,internal_test,Displacement,mm,1001,0.0005083900983555173,0.022547507586327967,0.013665610138181742,0.062462568283081055,2.4279200434684753,0.9286758699894034,0.9977623832331977,95.26965459315886,False,0.06388822622389027,0.9820348732564029,True
Load2_DCChirp_87mA_31Hz_7s,internal_test,Lorentz force,N,1001,4.833729950734791e-08,0.00021985745269912483,0.00013366892383053348,0.0011215023696422577,0.024090999737381935,0.9126124075206918,0.9990621682646776,96.93759614792174,False,0.0011022339816298462,0.9764283418958859,True
Load2_DCChirp_107mA_31Hz_7s,internal_test,Displacement,mm,1001,0.000692251948588411,0.026310681264239643,0.014765548175210705,0.11239790916442871,2.569200038909912,1.0240806813704946,0.9972834354708311,94.78793272379477,False,0.07737185230628651,0.9765079007460142,True
Load2_DCChirp_107mA_31Hz_7s,internal_test,Lorentz force,N,1001,8.903546625454523e-08,0.0002983881134605486,0.00021024331911936864,0.0012466087937355042,0.020514000207185745,1.4545584013206148,0.9980262835501386,95.55734713278045,False,0.000898988048660596,0.9820844741578169,True
Load2_DCChirp_127mA_31Hz_7s,internal_test,Displacement,mm,1001,0.0005248980364576678,0.02291065333982573,0.013635561446315952,0.07867550849914551,2.6538899540901184,0.8632857328736001,0.9981035518202034,95.64517717949782,False,0.09281182145227194,0.9688776327075154,True
Load2_DCChirp_127mA_31Hz_7s,internal_test,Lorentz force,N,1001,2.1378083409186065e-07,0.00046236439535485497,0.0002825574151107243,0.0017665103077888489,0.021258998662233353,2.1749114466818518,0.9951378602947571,93.02709550815243,False,0.000986152645860926,0.9778819439260562,True
Load2_DCChirp_107mA_51Hz_11s,internal_test,Displacement,mm,1600,0.0004781458836157366,0.02186654713519573,0.013253368210976078,0.11401528120040894,4.001399993896484,0.5464724138688899,0.998765690369873,96.48672570082121,False,0.07990921967531876,0.9835161947215695,True
Load2_DCChirp_107mA_51Hz_11s,internal_test,Lorentz force,N,1600,1.240986746341155e-07,0.00035227641793642033,0.00022208123002201319,0.0018560849130153656,0.03356600180268288,1.0495036614943618,0.9988061327727481,96.54476161856834,False,0.0007127260304792427,0.9951130923907068,True
