model,feature_count,trainable_parameters,active_features,removed_features,actual_lstm_input_features,residual_trust_used,validation_selected_residual_trust,training_displacement_RMSE,training_displacement_Fit_percent,validation_displacement_RMSE,validation_displacement_MAE,validation_displacement_R2,validation_displacement_Fit_percent,pure_displacement_RMSE,pure_displacement_MAE,pure_displacement_R2,pure_displacement_Fit_percent,worst_pure_test,worst_pure_displacement_RMSE,worst_pure_displacement_Fit_percent,validation_force_RMSE,validation_force_Fit_percent,pure_force_RMSE,pure_force_Fit_percent,prediction_RMSE_difference_vs_13feature_mm,prediction_max_difference_vs_13feature_mm,validation_rank
Model_13_Features,13,32513,current; current_change; current_dc_estimate; mass_ratio; inverse_mass_ratio; elapsed_time; startup_indicator; previous_displacement; previous_velocity; previous_acceleration; previous_force; force_change; quadratic_displacement_baseline,None,13,1.0,1.0,0.0003039802525787,99.98009602583925,0.0002420401881132,0.0001118572480024,0.9999999755153708,99.98435243492835,0.0005126124611937,0.000273382812089,0.9999997638464706,99.95140436960446,Load3_DCSine_200mA_1.6s,0.0012894082761348,99.03836973692704,0.0002224047201757,98.9507233226726,0.0003468127863155,98.9815689291913,0.0,0.0,1
Model_12_Features,12,32321,current; current_change; current_dc_estimate; mass_ratio; inverse_mass_ratio; elapsed_time; startup_indicator; previous_displacement; previous_velocity; previous_acceleration; previous_force; force_change,quadratic_displacement_baseline,12,1.0,1.0,0.0003250278600563,99.9787178737,0.0002628404788718,0.0001322388346049,0.9999999711262582,99.98300772475564,0.00028023725673,0.0001733803916548,0.9999999294222404,99.97343352496854,Load3_DCSine_200mA_1.6s,0.0005939714496215,99.5570208971594,0.0002224047201757,98.9507233226726,0.0003468127863155,98.9815689291913,0.0004903725935742012,0.0032965499999999537,4
Model_11_Features,11,32129,current; current_change; current_dc_estimate; mass_ratio; inverse_mass_ratio; elapsed_time; startup_indicator; previous_displacement; previous_velocity; previous_acceleration; previous_force,force_change; quadratic_displacement_baseline,11,1.0,1.0,0.0003174553542765,99.979213705117,0.0002623952185856,0.000118955308334,0.9999999712240014,99.9830365102204,0.000263629791585,0.0001622653498705,0.999999937539552,99.97500791166236,Load3_DCSine_200mA_1.6s,0.000581759945093,99.56612813846506,0.0002224047201757,98.9507233226726,0.0003468127863155,98.9815689291913,0.0003560781749592472,0.002240450000000005,3
Model_10_Features,10,31937,current; current_change; current_dc_estimate; mass_ratio; inverse_mass_ratio; elapsed_time; startup_indicator; previous_displacement; previous_velocity; previous_acceleration,previous_force; force_change; quadratic_displacement_baseline,10,1.0,1.0,0.0003068231279386,99.97990988046558,0.0002513340892085,0.0001116191641024,0.99999997359894,99.98375159701256,0.000272175155079,0.0001685123548103,0.999999933424708,99.97419781171868,Load3_DCSine_200mA_1.6s,0.000566284566855,99.5776695503837,0.0002224047201757,98.9507233226726,0.0003468127863155,98.9815689291913,0.0005903164417971075,0.0034513300000000025,2
Model_09_Features,9,31745,current; current_change; current_dc_estimate; mass_ratio; inverse_mass_ratio; elapsed_time; startup_indicator; previous_displacement; previous_velocity,previous_acceleration; previous_force; force_change; quadratic_displacement_baseline,9,1.0,1.0,0.0020979020571111,99.86263387841058,0.0021614489003413,0.0008936890140063,0.9999980474214488,99.86026530312672,0.0002829425741979,0.0001584205354335,0.9999999280529944,99.9731770610358,Load3_DCSine_200mA_1.6s,0.0006212451201695,99.53668041426546,0.0002224047201757,98.9507233226726,0.0003468127863155,98.9815689291913,0.0004841479614475705,0.0030020629999999993,5
Model_08_Features,8,31553,current; current_change; current_dc_estimate; mass_ratio; inverse_mass_ratio; elapsed_time; startup_indicator; previous_displacement,previous_velocity; previous_acceleration; previous_force; force_change; quadratic_displacement_baseline,8,1.0,0.9999832438585111,0.0021015189878874,99.86239704955048,0.0021638981594314,0.0008979354133052,0.999998042993789,99.86010696189716,0.000275339375936,0.0001522395074548,0.999999931867744,99.97389784377232,Load3_DCSine_200mA_1.6s,0.0005600898592583,99.58228951320396,0.0002224047201757,98.9507233226726,0.0003468127863155,98.9815689291913,0.0005149888125848325,0.0031249049999999973,6
Model_07_Features,7,31361,current; current_change; current_dc_estimate; mass_ratio; inverse_mass_ratio; elapsed_time; startup_indicator,previous_displacement; previous_velocity; previous_acceleration; previous_force; force_change; quadratic_displacement_baseline,7,1.0,1.0,0.00210363425525,99.86225854638596,0.0021645527902873,0.0009057238408449,0.9999980418095276,99.8600646409132,0.0003205171187645,0.0001747535210835,0.999999907675156,99.96961499647772,Load3_DCSine_200mA_1.6s,0.0006820336949286,99.4913447868933,0.0002224047201757,98.9507233226726,0.0003468127863155,98.9815689291913,0.00046733833304870133,0.0033339306300000002,9
Model_06_Features,6,31169,current; current_change; current_dc_estimate; mass_ratio; inverse_mass_ratio; elapsed_time,startup_indicator; previous_displacement; previous_velocity; previous_acceleration; previous_force; force_change; quadratic_displacement_baseline,6,1.0,1.0,0.0021050544555747,99.8621655547185,0.0021649746948894,0.0009065797468777,0.9999980410460904,99.8600373653613,0.0003839429990508,0.000219920069948,0.999999867520211,99.96360222685304,Load3_DCSine_200mA_1.6s,0.000673472790486,99.49772944018244,0.0002224047201757,98.9507233226726,0.0003468127863155,98.9815689291913,0.0004957613602061953,0.0035879062,11
Model_05_Features,5,30977,current; current_change; current_dc_estimate; mass_ratio; inverse_mass_ratio,elapsed_time; startup_indicator; previous_displacement; previous_velocity; previous_acceleration; previous_force; force_change; quadratic_displacement_baseline,5,1.0,1.0,0.0021055260424038,99.86213467622562,0.0021649033340342,0.0009056784991666,0.9999980411752286,99.8600419787424,0.0003507192316453,0.0001983627801384,0.9999998894559724,99.96675183799871,Load3_DCSine_200mA_1.6s,0.0007340049680658,99.4525850317528,0.0002224047201757,98.9507233226726,0.0003468127863155,98.9815689291913,0.00048032087661195307,0.0037636982800000004,10
Model_04_Features,4,30785,current; current_change; current_dc_estimate; mass_ratio,inverse_mass_ratio; elapsed_time; startup_indicator; previous_displacement; previous_velocity; previous_acceleration; previous_force; force_change; quadratic_displacement_baseline,4,1.0,1.0,0.0021058446981591,99.86211381133108,0.0021652371671577,0.0009076095662455,0.9999980405710712,99.86002039689038,0.0004341578995051,0.0002372841367504,0.9999998306007292,99.9588418573194,Load3_DCSine_200mA_1.6s,0.000988175568995,99.26302665341696,0.0002224047201757,98.9507233226726,0.0003468127863155,98.9815689291913,0.0005385956472158118,0.0037590903900000003,12
Model_03_Features,3,30593,current; current_change; current_dc_estimate,mass_ratio; inverse_mass_ratio; elapsed_time; startup_indicator; previous_displacement; previous_velocity; previous_acceleration; previous_force; force_change; quadratic_displacement_baseline,3,1.0,1.0,0.0021048811400956,99.86217690304387,0.0021642526471878,0.0009012305744233,0.9999980423525467,99.86008404475156,0.0003791321465899,0.0002421953664907,0.9999998708193868,99.9640582953761,Load3_DCSine_200mA_1.6s,0.0006532452097206,99.5128150063083,0.0002224047201757,98.9507233226726,0.0003468127863155,98.9815689291913,0.0005198198821970029,0.003375220000000012,8
Model_02_Features,2,30401,current; current_change,current_dc_estimate; mass_ratio; inverse_mass_ratio; elapsed_time; startup_indicator; previous_displacement; previous_velocity; previous_acceleration; previous_force; force_change; quadratic_displacement_baseline,2,1.0,1.0,0.0021045112639226,99.8622011217414,0.0021642522216969,0.0009126422711915,0.9999980423533164,99.86008407225894,0.0002951277854715,0.0001738648415173,0.999999921722613,99.97202190374216,Load3_DCSine_200mA_1.6s,0.0005751525140892,99.5710559070641,0.0002224047201757,98.9507233226726,0.0003468127863155,98.9815689291913,0.0004892542231033236,0.003277602000000001,7
