Feature_count,Trainable_parameters,Output,Pure_test_channels,Passing_channels,Mean_RMSE,Maximum_RMSE,Mean_fit_percent,Worst_fit_percent
13,32513,Displacement,5,5,0.00043321183076357997,0.0012894082761348,99.75158565817273,99.03836973692704
13,32513,Lorentz force,5,5,0.00027807350632388743,0.0006659663933648,96.85003661923356,95.86725271415855
12,32321,Displacement,5,5,0.00026082566010436,0.0005392739290008,99.87059254151396,99.59781386562216
12,32321,Lorentz force,5,5,0.00027807350632388743,0.0006659663933648,96.85003661923356,95.86725271415855
11,32129,Displacement,5,5,0.0002988385160912,0.0005751699560076,99.85298030462835,99.5710428990224
11,32129,Lorentz force,5,5,0.00027807350632388743,0.0006659663933648,96.85003661923356,95.86725271415855
10,31937,Displacement,5,5,0.00031474635049342,0.0006843499496686,99.83102936099854,99.48961734284308
10,31937,Lorentz force,5,5,0.00027807350632388743,0.0006659663933648,96.85003661923356,95.86725271415855
9,31745,Displacement,5,5,0.00046940559680145997,0.0008147885810019,99.73964302913275,99.39233726663642
9,31745,Lorentz force,5,5,0.00027807350632388743,0.0006659663933648,96.85003661923356,95.86725271415855
8,31553,Displacement,5,5,0.00038430395342504,0.0008726853919773,99.78194973392141,99.3491582933043
8,31553,Lorentz force,5,5,0.00027807350632388743,0.0006659663933648,96.85003661923356,95.86725271415855
7,31361,Displacement,5,5,0.00052921939380524,0.0010617277406738,99.69830657934628,99.32572397193158
7,31361,Lorentz force,5,5,0.00027807350632388743,0.0006659663933648,96.85003661923356,95.86725271415855
6,31169,Displacement,5,5,0.00031507027756686,0.0007404334407261,99.82563669139255,99.4477907288389
6,31169,Lorentz force,5,5,0.00027807350632388743,0.0006659663933648,96.85003661923356,95.86725271415855
5,30977,Displacement,5,5,0.00032316124482478,0.0006178888730809,99.82272791538114,99.53918347619748
5,30977,Lorentz force,5,5,0.00027807350632388743,0.0006659663933648,96.85003661923356,95.86725271415855
4,30785,Displacement,5,5,0.00040668957336501997,0.0008907896294304,99.77045875963888,99.33565629944636
4,30785,Lorentz force,5,5,0.00027807350632388743,0.0006659663933648,96.85003661923356,95.86725271415855
3,30593,Displacement,5,5,0.00041063661998372,0.0010511622623581,99.77540143591587,99.21605168696918
3,30593,Lorentz force,5,5,0.00027807350632388743,0.0006659663933648,96.85003661923356,95.86725271415855
2,30401,Displacement,5,5,0.0003811030667437999,0.0009181253247379,99.79727057922484,99.31526955898846
2,30401,Lorentz force,5,5,0.00027807350632388743,0.0006659663933648,96.85003661923356,95.86725271415855
1,30209,Displacement,5,5,0.00036314622521246,0.0006716788231931,99.82567129704904,99.49906736647918
1,30209,Lorentz force,5,5,0.00027807350632388743,0.0006659663933648,96.85003661923356,95.86725271415855
