feature_count,pure_test_baseline_RMSE_mm,pure_test_hybrid_RMSE_mm,LSTM_correction_RMS_mm,hybrid_improvement_over_baseline_RMSE_mm
1,0.0008821028402010167,0.0005251309396134961,0.0010527766558284682,0.00035697190058752055
2,0.0008821028402010167,0.0002951274351464833,0.0008963049982677652,0.0005869754050545333
3,0.0008821028402010167,0.00037913159846285463,0.0009725084941192583,0.0005029712417381621
4,0.0008821028402010167,0.00043415809657559705,0.0005844537505611241,0.00044794474362541963
5,0.0008821028402010167,0.00035071848009526836,0.000695118383297927,0.0005313843601057484
6,0.0008821028402010167,0.0003839429676540703,0.0008056025520760907,0.0004981598725469463
7,0.0008821028402010167,0.00032051701054909256,0.0007568345277922995,0.0005615858296519241
8,0.0008821028402010167,0.00027533895593388394,0.0008545530776785685,0.0006067638842671328
9,0.0008821028402010167,0.00028294227231064496,0.0007533010167400713,0.0005991605678903717
10,0.0008821028402010167,0.0002721751787034567,0.000806516010762678,0.00060992766149756
11,0.0008821028402010167,0.0002636292512754068,0.0008361611299443727,0.0006184735889256099
12,0.0008821028402010167,0.0002802368585887664,0.0007523314085463007,0.0006018659816122503
13,0.0008821028402010167,0.0005126123693564355,0.0009510059625537841,0.0003694904708445812
