stage,epoch,teacher_forcing_ratio,training_normalized_mse,validation_normalized_mse
series_parallel,1,1.0,0.0018136884462125976,0.0001584808468329389
series_parallel,2,1.0,0.0002226586927803271,8.224205507002091e-05
series_parallel,3,1.0,0.00020226960351474283,7.919791378934701e-05
series_parallel,4,1.0,0.0001982833168556387,7.867176564177858e-05
series_parallel,5,1.0,0.00019494054990119744,7.773048505298266e-05
series_parallel,6,1.0,0.00019057324547743933,7.496227965243541e-05
series_parallel,7,1.0,0.00019011256744205538,7.468163321295712e-05
series_parallel,8,1.0,0.00018928745638630871,7.52225202638149e-05
series_parallel,9,1.0,0.00018406977099154822,7.5403847917756e-05
series_parallel,10,1.0,0.00018175907407750875,7.061943904297377e-05
series_parallel,11,1.0,0.00017762584694087355,7.560209626784484e-05
series_parallel,12,1.0,0.00017653955305418507,6.88847479405412e-05
series_parallel,13,1.0,0.0001690073455319354,6.536984829314603e-05
series_parallel,14,1.0,0.00016523945184114078,7.203549297494477e-05
series_parallel,15,1.0,0.00015094102295045035,4.798355143595982e-05
series_parallel,16,1.0,0.00014256594771392306,3.5790265135618384e-05
series_parallel,17,1.0,0.0001373061460779152,3.495502961882404e-05
series_parallel,18,1.0,0.00013771708180123677,3.2908308690510806e-05
series_parallel,19,1.0,0.00013403753827048484,3.789865086325791e-05
series_parallel,20,1.0,0.0001322013376700466,2.495981680247881e-05
series_parallel,21,1.0,0.00012874210531461157,2.618383429841923e-05
series_parallel,22,1.0,0.00012708494605524748,2.324600156591859e-05
series_parallel,23,1.0,0.0001266847033291171,2.827807321169467e-05
series_parallel,24,1.0,0.00012138355874651667,2.6934253749509516e-05
series_parallel,25,1.0,0.00012380302594998155,2.3816285558195668e-05
series_parallel,26,1.0,0.00012292395412893684,2.193399346335757e-05
series_parallel,27,1.0,0.0001222264175385594,2.164689043043565e-05
series_parallel,28,1.0,0.0001209190079467277,2.2995820361911184e-05
series_parallel,29,1.0,0.00012116515294606374,1.8935605951253036e-05
series_parallel,30,1.0,0.00012098673451515479,2.7413156093450997e-05
scheduled_rollout,1,0.9,2.2398256148265387e-05,0.0003071949558943743
scheduled_rollout,2,0.8272727272727273,2.227750481044775e-05,0.0002817044860421447
scheduled_rollout,3,0.7545454545454545,2.6398395885525344e-05,0.0003446529772190843
scheduled_rollout,4,0.6818181818181818,2.882925589521899e-05,0.0003629156417446211
scheduled_rollout,5,0.6090909090909091,3.2382054786676934e-05,0.00024802653933875263
scheduled_rollout,6,0.5363636363636364,3.6493552915299704e-05,0.00028814572215196677
scheduled_rollout,7,0.46363636363636357,6.190495528594161e-05,0.0005433801561594009
scheduled_rollout,8,0.3909090909090909,6.425599922994689e-05,0.0002725949489104096
scheduled_rollout,9,0.3181818181818181,7.820516531445229e-05,0.0002958448476420017
scheduled_rollout,10,0.24545454545454548,0.00010345007523518198,0.000477540470456006
scheduled_rollout,11,0.17272727272727273,0.0001696715894817876,0.00038078348006820306
scheduled_rollout,12,0.09999999999999998,0.00021381869401711112,0.0003919452465197537
