structure,stage,epoch,teacher_forcing_ratio,training_normalized_mse,validation_normalized_mse
series,series,1,0.0,0.9732383886973063,0.8048033275102314
series,series,2,0.0,0.8294306000073751,0.569131428735298
series,series,3,0.0,0.5261851892326818,0.33488971308658
series,series,4,0.0,0.39326062166329584,0.26820798035253557
series,series,5,0.0,0.33886527292656177,0.2217006123902505
series,series,6,0.0,0.29779284289388946,0.19167967689664742
series,series,7,0.0,0.2620280619823571,0.16203839501790834
series,series,8,0.0,0.2354549937175982,0.14281933715468959
series,series,9,0.0,0.21615269147988522,0.12739667518619904
series,series,10,0.0,0.19818781180815262,0.11506147016035884
series,series,11,0.0,0.18302749819827802,0.10934039845801237
series,series,12,0.0,0.174131865754272,0.09909660702473239
series,series,13,0.0,0.16733889372059793,0.0965434539605651
series,series,14,0.0,0.15944720895001382,0.08959073514530533
series,series,15,0.0,0.15269223487738406,0.08729983611326468
series_parallel,series_parallel,1,1.0,0.01347390463519277,0.0033110132636992554
series_parallel,series_parallel,2,1.0,0.0016483896108569973,0.0016337840658563532
series_parallel,series_parallel,3,1.0,0.0008607960022125168,0.00035077760817090934
series_parallel,series_parallel,4,1.0,0.0005101929683322934,0.00020888975766291353
series_parallel,series_parallel,5,1.0,0.0002630284412368906,0.0001269481615868005
series_parallel,series_parallel,6,1.0,0.0002587220541582528,9.170416632785641e-05
series_parallel,series_parallel,7,1.0,0.00023233713617435458,9.398155446417564e-05
series_parallel,series_parallel,8,1.0,0.00021483681418678978,7.625119165791068e-05
series_parallel,series_parallel,9,1.0,0.00021832750865018391,7.937117768226911e-05
series_parallel,series_parallel,10,1.0,0.0002112373878128093,7.525527121687079e-05
series_parallel,series_parallel,11,1.0,0.00021066860415775216,7.145329577166162e-05
series_parallel,series_parallel,12,1.0,0.00020637066380445367,7.099325854429288e-05
series_parallel,series_parallel,13,1.0,0.0002038148734506897,7.017743911618661e-05
series_parallel,series_parallel,14,1.0,0.00020228066591009724,6.96159287033145e-05
series_parallel,series_parallel,15,1.0,0.0002038003713647468,6.84498179971502e-05
parallel,parallel,1,0.9,0.00014883561899685965,0.04041636983553568
parallel,parallel,2,0.7857142857142857,0.0001817575071722136,0.035328684374690056
parallel,parallel,3,0.6714285714285715,0.0002987792145826721,0.0358231837550799
parallel,parallel,4,0.5571428571428572,0.00041048472797098966,0.035464657470583916
parallel,parallel,5,0.44285714285714284,0.0006363876039228801,0.03305909037590027
parallel,parallel,6,0.3285714285714286,0.0012320663497251058,0.03659304045140743
parallel,parallel,7,0.2142857142857142,0.0027537299652716945,0.03301720197002093
parallel,parallel,8,0.09999999999999998,0.007793823423396263,0.03465958622594675
