time_s,measured_displacement_mm,predicted_displacement_mm,measured_force_N,predicted_force_N,displacement_error_mm,force_error_N
0.24,-0.07745397,-0.07437372,0.051274,0.050349623,-0.0030802488,0.00092437863
0.242,-0.07875705,-0.07635093,0.051276,0.050236974,-0.0024061203,0.0010390244
0.244,-0.07912803,-0.07741666,0.051277,0.050146576,-0.0017113686,0.0011304244
0.246,-0.07859695,-0.077590704,0.051276,0.050082877,-0.0010062456,0.0011931211
0.248,-0.07720399,-0.07690263,0.051274,0.050046537,-0.00030136108,0.0012274645
0.25,-0.07500005,-0.07538903,0.05127,0.05003863,0.0003889799,0.0012313724
0.252,-0.072044134,-0.073096395,0.051265,0.050056703,0.0010522604,0.0012082979
0.254,-0.068405986,-0.070077896,0.051259,0.050099175,0.0016719103,0.0011598244
0.256,-0.06415796,-0.06639826,0.051251,0.05016249,0.0022403002,0.0010885112
0.258,-0.05938399,-0.06212592,0.051242,0.050241556,0.0027419329,0.0010004453
0.26,-0.05416596,-0.057341695,0.051233,0.050333124,0.0031757355,0.0008998774
0.262,-0.04859209,-0.05212593,0.051222,0.050434045,0.0035338402,0.0007879548
0.264,-0.042752028,-0.046566486,0.051211,0.05053855,0.0038144588,0.0006724484
0.266,-0.036735892,-0.04075384,0.051199,0.050645545,0.004017949,0.0005534552
0.268,-0.030632019,-0.03477943,0.051186,0.050751526,0.0041474104,0.00043447316
0.27,-0.024526,-0.028733492,0.051174,0.05085469,0.004207492,0.00031930953
0.272,-0.01858008,-0.02270341,0.051161,0.0509558,0.00412333,0.00020520017
0.274,-0.012867928,-0.016852379,0.051149,0.051051997,0.0039844513,9.7002834e-05
0.276,-0.0074539185,-0.011254907,0.051137,0.051144805,0.0038009882,-7.804483e-06
0.278,-0.0022644997,-0.005975008,0.051125,0.05123291,0.0037105083,-0.000107910484
0.28,0.0025925636,-0.0009384155,0.051114,0.051316265,0.0035309792,-0.00020226464
0.282,0.0070496798,0.0037481785,0.051104,0.051395983,0.0033015013,-0.0002919808
0.284,0.011057854,0.008019686,0.051094,0.051472154,0.003038168,-0.00037815422
0.286,0.014577031,0.011829495,0.051086,0.051543824,0.0027475357,-0.00045782328
0.288,0.017578006,0.01514101,0.051079,0.05161296,0.0024369955,-0.00053395703
0.29,0.020038962,0.017928958,0.051073,0.051678322,0.0021100044,-0.0006053224
0.292,0.021947026,0.020175219,0.051068,0.05173958,0.0017718077,-0.00067158043
0.294,0.023295045,0.021870852,0.051065,0.05179635,0.0014241934,-0.000731349
0.296,0.02408588,0.023012519,0.051063,0.051849112,0.0010733604,-0.00078611076
0.298,0.02433002,0.023606539,0.051062,0.051896255,0.0007234812,-0.0008342564
0.3,0.024044037,0.023666143,0.051063,0.0519372,0.00037789345,-0.000874199
0.302,0.023249865,0.023210645,0.051065,0.05197236,3.9219856e-05,-0.0009073578
0.304,0.021978974,0.022263646,0.051068,0.05200018,-0.00028467178,-0.0009321794
0.306,0.020264983,0.020858169,0.051072,0.052020207,-0.0005931854,-0.0009482056
0.308,0.018147945,0.019028664,0.051077,0.052032158,-0.00088071823,-0.000955157
0.31,0.015671015,0.0168159,0.051083,0.052035894,-0.001144886,-0.00095289573
0.312,0.012881041,0.014262795,0.05109,0.052031413,-0.0013817549,-0.0009414144
0.314,0.009827018,0.011415958,0.051097,0.052018903,-0.0015889406,-0.00092190504
0.316,0.0065606833,0.008324146,0.051105,0.05199773,-0.001763463,-0.00089272857
0.318,0.0031340122,0.0050377846,0.051113,0.051969483,-0.0019037724,-0.0008564852
0.32,-0.00040078163,0.0016083717,0.051121,0.051933866,-0.0020091534,-0.0008128658
0.322,-0.0039914846,-0.0019131899,0.051129,0.051891763,-0.0020782948,-0.00076276436
0.324,-0.0075871944,-0.005475998,0.051137,0.051844165,-0.0021111965,-0.0007071644
0.326,-0.011093974,-0.009030223,0.051145,0.05179214,-0.0020637512,-0.00064714253
0.328,-0.014467955,-0.012483478,0.051152,0.05173682,-0.001984477,-0.00058482215
0.33,-0.017670035,-0.0157938,0.051159,0.051678464,-0.001876235,-0.00051946566
0.332,-0.02074194,-0.01892364,0.051166,0.051619418,-0.0018182993,-0.00045341626
0.334,-0.02361989,-0.02191627,0.051172,0.051560964,-0.00170362,-0.000388965
0.336,-0.026265025,-0.024709225,0.051177,0.051503222,-0.0015558004,-0.00032622367
0.338,-0.0286479,-0.027265191,0.051182,0.051447242,-0.0013827085,-0.00026524067
0.34,-0.03074503,-0.029556036,0.051186,0.05139498,-0.0011889935,-0.00020898134
0.342,-0.032537103,-0.031559825,0.05119,0.05134624,-0.0009772778,-0.00015623868
0.344,-0.034011006,-0.03325808,0.051193,0.051302746,-0.0007529259,-0.00010974705
0.346,-0.035159826,-0.03463936,0.051195,0.051264066,-0.00052046776,-6.906688e-05
0.348,-0.03597796,-0.03569734,0.051197,0.05123069,-0.00028061867,-3.3691525e-05
0.35,-0.03646803,-0.03642738,0.051198,0.051203925,-4.0650368e-05,-5.926937e-06
0.352,-0.03663504,-0.03683293,0.051198,0.051182915,0.00019788742,1.50837e-05
0.354,-0.036486983,-0.036919713,0.051198,0.051167656,0.00043272972,3.034249e-05
0.356,-0.036038876,-0.036696196,0.051197,0.051159028,0.00065732,3.7971884e-05
0.358,-0.035308003,-0.036177874,0.051196,0.051155724,0.0008698702,4.027784e-05
0.36,-0.03431499,-0.035382748,0.051194,0.05115837,0.0010677576,3.56324e-05
0.362,-0.033081055,-0.03433144,0.051191,0.051165473,0.0012503862,2.552569e-05
0.364,-0.031633973,-0.033046007,0.051188,0.051176544,0.001412034,1.1455268e-05
0.366,-0.030001044,-0.03155458,0.051185,0.05119206,0.0015535355,-7.059425e-06
0.368,-0.028210044,-0.029884696,0.051181,0.051211398,0.0016746521,-3.0398369e-05
0.37,-0.026292086,-0.02806449,0.051177,0.05123296,0.0017724037,-5.596131e-05
0.372,-0.02427888,-0.026125431,0.051173,0.051257197,0.0018465519,-8.4195286e-05
0.374,-0.022199988,-0.024099708,0.051169,0.051283564,0.0018997192,-0.00011456385
0.376,-0.02008605,-0.022016168,0.051164,0.051311515,0.0019301176,-0.00014751405
0.378,-0.017968059,-0.01990664,0.05116,0.051339604,0.0019385815,-0.0001796037
0.38,-0.01590097,-0.017801285,0.051155,0.051369414,0.0019003153,-0.00021441281
0.382,-0.013910055,-0.015754938,0.051151,0.05139852,0.001844883,-0.00024751946
0.384,-0.012019992,-0.013792515,0.051147,0.051428538,0.0017725229,-0.0002815388
0.386,-0.010207176,-0.011937976,0.051143,0.051458046,0.0017307997,-0.00031504408
0.388,-0.00850594,-0.0101668835,0.051139,0.051486712,0.001660943,-0.00034771115
0.39,-0.006941557,-0.008513451,0.051136,0.05151427,0.0015718937,-0.00037827343
0.392,-0.0055309534,-0.0070017576,0.051132,0.051541477,0.0014708042,-0.00040947646
0.394,-0.004288435,-0.005648136,0.05113,0.051566113,0.0013597012,-0.00043611228
0.396,-0.0032242537,-0.004465461,0.051127,0.051590964,0.0012412071,-0.00046396255
0.398,-0.0023469925,-0.0034635067,0.051125,0.05161277,0.0011165142,-0.00048776716
