time_s,measured_displacement_mm,predicted_displacement_mm,measured_force_N,predicted_force_N,displacement_error_mm,force_error_N
0.24,-2.6108,-2.637313,-0.006075699,-0.008063009,0.026512861,0.0019873101
0.242,-2.7411,-2.7591748,-0.007099699,-0.008600237,0.01807475,0.0015005376
0.244,-2.8707,-2.8816261,-0.007986501,-0.008869097,0.010926247,0.0008825958
0.246,-2.9983,-3.004057,-0.0087109,-0.009025453,0.005756855,0.00031455234
0.248,-3.1234,-3.1245737,-0.0093136,-0.009117823,0.0011737347,-0.00019577704
0.25,-3.2448,-3.2414796,-0.0098131,-0.009236759,-0.0033204556,-0.0005763415
0.252,-3.3615,-3.3528223,-0.010227,-0.009425066,-0.008677721,-0.00080193393
0.254,-3.4725,-3.457882,-0.010572001,-0.009688269,-0.014618158,-0.000883732
0.256,-3.577,-3.5565612,-0.010862999,-0.010000646,-0.020438671,-0.00086235255
0.258,-3.6742,-3.6488981,-0.011114001,-0.01032912,-0.025301933,-0.0007848814
0.26,-3.7628,-3.7345753,-0.011739999,-0.010652749,-0.028224707,-0.0010872502
0.262,-3.8428,-3.8125787,-0.012003999,-0.011370955,-0.030221224,-0.00063304417
0.264,-3.9149,-3.8827279,-0.012257,-0.0117337,-0.032172203,-0.00052330084
0.266,-3.9779,-3.9457164,-0.01251,-0.012084981,-0.032183647,-0.00042501837
0.268,-4.0317,-4.000312,-0.012770001,-0.012435574,-0.031388283,-0.00033442676
0.27,-4.0762,-4.0463667,-0.013044,-0.012792025,-0.029833317,-0.0002519749
0.272,-4.1113,-4.0837426,-0.013333999,-0.013158781,-0.027557373,-0.00017521717
0.274,-4.1374,-4.112314,-0.013645999,-0.013534641,-0.025085926,-0.00011135824
0.276,-4.1546,-4.1324663,-0.013980001,-0.01392274,-0.022133827,-5.7261437e-05
0.278,-4.1634,-4.1442876,-0.014339,-0.014320724,-0.019112587,-1.8276274e-05
0.28,-4.1642,-4.1482697,-0.014722999,-0.0147299245,-0.015930176,6.9253147e-06
0.282,-4.1575,-4.144801,-0.015131,-0.015149165,-0.01269865,1.8164515e-05
0.284,-4.1442,-4.1343784,-0.0155609995,-0.015577018,-0.009821415,1.6018748e-05
0.286,-4.1248,-4.1178846,-0.016009998,-0.016011465,-0.0069155693,1.4677644e-06
0.288,-4.1001,-4.09581,-0.016473997,-0.016449846,-0.004290104,-2.4151057e-05
0.29,-4.071,-4.068939,-0.016946,-0.016888939,-0.0020608902,-5.706027e-05
0.292,-4.0383,-4.0381594,-0.017419998,-0.017322827,-0.00014066696,-9.717047e-05
0.294,-4.0029,-4.0042524,-0.017889,-0.017746795,0.0013523102,-0.0001422055
0.296,-3.9657,-3.968099,-0.018341001,-0.018155344,0.0023992062,-0.00018565729
0.298,-3.9273,-3.9305768,-0.018769,-0.018538047,0.003276825,-0.0002309531
0.3,-3.8887,-3.8922641,-0.019161,-0.018889658,0.0035641193,-0.0002713427
0.302,-3.8506,-3.8541338,-0.019506,-0.019200087,0.0035338402,-0.0003059134
0.304,-3.8137,-3.8168569,-0.019793998,-0.019460224,0.0031569004,-0.00033377483
0.306,-3.7786,-3.7810996,-0.020014998,-0.01966193,0.0024995804,-0.0003530681
0.308,-3.7457,-3.7474272,-0.02016,-0.01979706,0.0017273426,-0.00036294013
0.31,-3.7155,-3.7162018,-0.020220999,-0.019858312,0.0007016659,-0.0003626868
0.312,-3.6883,-3.6878865,-0.020193,-0.019839428,-0.00041341782,-0.00035357103
0.314,-3.6643,-3.6627345,-0.020069998,-0.01973679,-0.0015654564,-0.0003332086
0.316,-3.6435003,-3.6409047,-0.019851,-0.019545559,-0.002595663,-0.00030544028
0.318,-3.6259,-3.6223514,-0.019536998,-0.019265775,-0.0035486221,-0.0002712235
0.32,-3.6113997,-3.607027,-0.019129,-0.018899087,-0.0043725967,-0.00022991374
0.322,-3.5997,-3.5947843,-0.018630002,-0.018446874,-0.0049157143,-0.00018312782
0.324,-3.5905,-3.585277,-0.018047001,-0.017912298,-0.005223036,-0.00013470277
0.326,-3.5833,-3.5781562,-0.017386,-0.017302196,-0.005143881,-8.380413e-05
0.328,-3.5778,-3.572876,-0.016652,-0.016622119,-0.004924059,-2.9880553e-05
0.33,-3.5732,-3.56909,-0.015855,-0.015876386,-0.004110098,2.1386892e-05
0.332,-3.5692,-3.565956,-0.015000001,-0.015074179,-0.0032439232,7.417798e-05
0.334,-3.565,-3.5631313,-0.014093999,-0.014219515,-0.0018687248,0.0001255162
